test,release_date,path,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC_perf,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed_sec,cycles,freq_cycles_GHz,instructions,insn_per_cycle,cpu_clock_msec,no_cpus,cpu_cycles,freq_cpu_cycles_GHz,cpu_migrations,ref_cycles,bus_cycles,task_clock_msec,no_cpus_task_clock,cpu_thermal_margin_C,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete,TotalSlots_Giga,FetchBubbles_Giga,SlotsRetired_Giga,SlotsIssued+RecoveryBubbles_Giga,SlotsBackend_Giga
10,2022-05-27,binaryTrees_v2_21_original,g++-9,binaryTrees_2.c 21,1.0,0.39,0.63,0.23,0.02,0.13,6.57,2.53,0.0,1.87,1.81,20.797319079,71461475211,3.436,183584454105,2.57,20795.04,1.0,71462622962,3.437,4,39373931481,498436747,20795.07,1.0,24.0,38820580002,54319370,0.14%,0,29700113973,65661,65661,0,816327516,300713155,36.837,51698279404,613884739,1.19%,99795915,34920155,34.99%,3363711,53177483734,3693401,0.01%,4055,433063,10679.73%,0,0,13.744,3.16112,8.65872,0.27488,1.78672
1,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,1.0,0.4,0.63,0.2,0.03,0.15,6.59,2.5,0.0,2.18,2.16,17.745267553,72327291878,4.076,181319848206,2.51,17743.51,1.0,72312859146,4.075,2,33528986097,424470090,17743.53,1.0,16.0,38972817315,55096730,0.14%,0,30252844666,65663,65663,0,800957892,294392135,36.755,52424491148,608366112,1.16%,98866384,38797421,39.24%,3826240,52119169299,3659681,0.01%,49208,325184,660.84%,0,0,16.304,3.2607999999999997,10.271519999999999,0.48911999999999994,2.4455999999999998
2,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,1.0,0.4,0.62,0.2,0.03,0.15,6.59,2.48,0.0,2.2,2.16,17.784478125,72422524549,4.073,180713209026,2.5,17782.72,1.0,72413396672,4.072,4,33570785411,424963187,17782.72,1.0,14.0,38954054472,55009669,0.14%,0,30427833656,65662,65662,0,802966237,292350401,36.409,52674679134,614355551,1.17%,95638708,39275085,41.07%,3121196,52230523562,4815142,0.01%,63234,325718,515.10%,0,0,16.292,3.2584000000000004,10.101040000000001,0.48876000000000003,2.4438
3,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,0.99,0.4,0.62,0.2,0.03,0.15,6.6,2.51,0.01,2.18,2.16,17.85413801,72450739728,4.058,180735425389,2.49,17852.03,1.0,72453707311,4.059,3,33612102819,425505416,17852.04,1.0,11.0,39200081459,56681885,0.14%,0,30394299781,65665,65665,0,791206768,300086028,37.928,52331053483,610347088,1.17%,98802913,39672766,40.15%,3964222,52170560197,4959115,0.01%,158142,321159,203.08%,0,0,16.232,3.2464,10.063839999999999,0.48695999999999995,2.4347999999999996
4,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,0.99,0.4,0.62,0.21,0.03,0.14,6.6,2.48,0.01,2.14,2.12,18.23771025,72705283405,3.987,180695406928,2.49,18235.82,1.0,72702580024,3.987,3,34298461831,434187070,18235.86,1.0,9.0,39221183692,56892180,0.15%,0,30284855833,65663,65663,0,804436896,297777063,37.017,52198121680,609647706,1.17%,98432908,37610672,38.21%,4013727,52563986115,3908449,0.01%,247124,341127,138.04%,0,0,15.948,3.34908,9.88776,0.47844,2.2327200000000005
5,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,0.99,0.4,0.62,0.2,0.03,0.15,6.6,2.48,0.01,2.14,2.11,18.212404656,72400503037,3.976,180917427794,2.5,18210.68,1.0,72434656158,3.978,8,34321299535,434432148,18210.69,1.0,8.0,39212403615,54643960,0.14%,0,30237734092,65663,65663,0,816368774,299706632,36.712,52492736805,607582961,1.16%,99037191,38136441,38.51%,4070614,52266431798,3541980,0.01%,135086,377799,279.67%,0,0,15.904,3.1808,9.860479999999999,0.47712,2.3855999999999997
6,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,0.99,0.4,0.62,0.2,0.03,0.16,6.59,2.48,0.0,2.03,2.01,19.157403527,72375847095,3.779,180474902116,2.49,19153.48,1.0,72394353084,3.78,18,35980988531,455444254,19153.52,1.0,5.0,38817469514,53724588,0.14%,0,30343216290,65664,65664,0,800330568,305499198,38.172,52763477814,609353662,1.15%,94612072,39497896,41.75%,4540294,52199284107,3646250,0.01%,285364,495813,173.75%,0,0,15.116,3.0232,9.37192,0.45348,2.41856
7,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,0.99,0.4,0.62,0.2,0.03,0.15,6.59,2.49,0.0,2.15,2.11,18.196248239,72315578444,3.975,180902009906,2.5,18194.49,1.0,72313337692,3.974,8,34309962691,434262214,18194.51,1.0,8.0,39238486511,53486895,0.14%,0,30356223044,65663,65663,0,796504579,299186057,37.562,52166501037,615534342,1.18%,97094104,39309420,40.49%,4075087,52149242372,3783369,0.01%,95732,363671,379.88%,0,0,15.9,3.18,9.858,0.477,2.385
8,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,1.0,0.4,0.63,0.2,0.03,0.15,6.6,2.54,0.01,1.95,1.86,20.243680555,71311105618,3.523,181179002380,2.54,20241.71,1.0,71297694584,3.522,5,38244694585,484148257,20241.73,1.0,19.0,39150260762,56264837,0.14%,0,30199485523,65663,65663,0,820243927,302350680,36.861,52175420403,610404422,1.17%,97688895,39888262,40.83%,4602206,52374118546,3562380,0.01%,76331,335710,439.81%,0,0,14.092,2.8184000000000005,8.87796,0.42276,2.1138
9,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,1.0,0.39,0.63,0.2,0.03,0.13,6.61,2.56,0.0,1.86,1.78,21.035283026,71071007572,3.379,180381648042,2.54,21033.28,1.0,71064069335,3.379,2,39822182251,504108811,21033.31,1.0,21.0,38724729309,52684621,0.14%,0,29913770449,65664,65664,0,809498257,297416841,36.741,52189855293,606480189,1.16%,95508644,36330288,38.04%,4583167,52736821623,3606706,0.01%,34585,506010,1463.09%,0,0,13.516,2.7032000000000003,8.51508,0.40548,1.75708
10,2023-07-07,binaryTrees_v2_21_original,g++-10,binaryTrees_2.c 21,1.0,0.39,0.63,0.2,0.03,0.14,6.61,2.52,0.01,1.88,1.79,21.110295258,71430932729,3.384,181378749073,2.54,21108.01,1.0,71438015483,3.384,1,39965020354,505917585,21108.04,1.0,23.0,39048024077,56789370,0.15%,0,30166601176,65664,65664,0,815930276,306475370,37.561,52273522075,613017472,1.17%,101317168,37114090,36.63%,3672312,52303046224,3421871,0.01%,6232,462518,7421.66%,0,0,13.536,2.7072000000000003,8.52768,0.40608,1.89504
1,2023-05-29,binaryTrees_v2_21_original,g++-11,binaryTrees_2.c 21,1.0,0.4,0.62,0.21,0.03,0.14,6.57,2.49,0.01,2.21,2.16,17.840109551,72707885497,4.076,180723222478,2.48,17838.36,1.0,72723788370,4.077,1,33719925882,426841098,17838.37,1.0,16.0,39104125191,55390743,0.14%,0,30492761456,65665,65665,0,811067895,297320086,36.658,52609538281,607837065,1.16%,99503832,41348230,41.55%,4054827,51933210799,5097067,0.01%,89320,315725,353.48%,0,0,16.304,3.4238399999999998,10.108479999999998,0.48911999999999994,2.28256
