version,release_date,appplication,no_measurement,timestamp,pid,command,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 32
g++-7,2019-11-14,nbody_2.c 50000000,61,1690228312,333395,nbody_2_g++-7,6496.0,1944.0,1772.0,93.8,0.0,314,2,307,5,0,13.8,0.8,0.0,84.6,0.8,0.0,0.0,0.0,15795.0 MiB,5444.4 MiB,2122.6 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12654.8 MiB,
g++-7,2019-11-14,nbody_2.c 50000000,62,1690228314,333395,nbody_2_g++-7,6496.0,1944.0,1772.0,93.8,0.0,314,2,307,5,0,12.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,15795.0 MiB,5445.2 MiB,2121.8 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.7 MiB,
g++-7,2019-11-14,nbody_2.c 50000000,63,1690228315,333395,nbody_2_g++-7,6496.0,1944.0,1772.0,100.0,0.0,314,2,307,5,0,13.4,0.0,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5445.4 MiB,2121.6 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12655.9 MiB,
g++-7,2019-11-14,nbody_2.c 50000000,64,1690228316,333395,nbody_2_g++-7,6496.0,1944.0,1772.0,93.8,0.0,314,2,307,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5445.7 MiB,2121.3 MiB,8228.0 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.1 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,0,1690228829,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,93.8,0.0,313,2,306,5,0,14.5,0.8,0.0,84.0,0.8,0.0,0.0,0.0,15795.0 MiB,5438.7 MiB,2119.9 MiB,8236.4 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12650.8 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,1,1690228831,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,100.0,0.0,313,2,306,5,0,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5445.6 MiB,2119.6 MiB,8229.8 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12657.7 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,2,1690228832,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,100.0,0.0,313,2,306,5,0,12.7,0.0,0.0,87.3,0.0,0.0,0.0,0.0,15795.0 MiB,5444.9 MiB,2120.5 MiB,8229.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12657.0 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,3,1690228833,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,93.8,0.0,313,2,306,5,0,13.4,0.8,0.0,85.8,0.0,0.0,0.0,0.0,15795.0 MiB,5444.4 MiB,2120.9 MiB,8229.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.5 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,4,1690228834,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,100.0,0.0,313,2,306,5,0,12.5,1.6,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,5444.1 MiB,2121.2 MiB,8229.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.3 MiB,
g++-8,2021-05-14,nbody_2.c 50000000,5,1690228835,334035,nbody_2_g++-8,6496.0,1936.0,1760.0,93.8,0.0,313,2,306,5,0,12.6,0.8,0.0,86.6,0.0,0.0,0.0,0.0,15795.0 MiB,5443.9 MiB,2121.4 MiB,8229.7 MiB,4096.0 MiB,4095.0 MiB,1.0 MiB,12656.0 MiB,
